District,crop_name,crop_type,Area,Production
BANKA,Limes and Lemons,fruits,505,3333
BEGUSARAI,Limes and Lemons,fruits,403,3123.25
BHAGALPUR,Limes and Lemons,fruits,945,7245
BHOJPUR,Limes and Lemons,fruits,500,3750
BUXAR,Limes and Lemons,fruits,300,2200
DARBHANGA,Limes and Lemons,fruits,900,6187.5
GAYA,Limes and Lemons,fruits,410,2870
GOPALGANJ,Limes and Lemons,fruits,400,3100
JAMUI,Limes and Lemons,fruits,200,1300
JEHANABAD,Limes and Lemons,fruits,200,1300
KAIMUR (BHABUA),Limes and Lemons,fruits,300,1800
KATIHAR,Limes and Lemons,fruits,300,400
KHAGARIA,Limes and Lemons,fruits,200,1700
KISHANGANJ,Limes and Lemons,fruits,300,2000
LAKHISARAI,Limes and Lemons,fruits,100,500
MADHEPURA,Limes and Lemons,fruits,505,3535
MADHUBANI,Limes and Lemons,fruits,700,4800
MUNGER,Limes and Lemons,fruits,200,1500
MUZAFFARPUR,Limes and Lemons,fruits,700,5000
NALANDA,Limes and Lemons,fruits,400,3000
NAWADA,Limes and Lemons,fruits,400,3000
PASHCHIM CHAMPARAN,Limes and Lemons,fruits,1600,12300
PATNA,Limes and Lemons,fruits,600,4300
PURBI CHAMPARAN,Limes and Lemons,fruits,1600,11900
PURNIA,Limes and Lemons,fruits,400,3100
ROHTAS,Limes and Lemons,fruits,400,2800
SAHARSA,Limes and Lemons,fruits,600,4400
SAMASTIPUR,Limes and Lemons,fruits,800,5700
SARAN,Limes and Lemons,fruits,500,3800
SHEIKHPURA,Limes and Lemons,fruits,100,600
SHEOHAR,Limes and Lemons,fruits,200,1100
SITAMARHI,Limes and Lemons,fruits,300,2100
SIWAN,Limes and Lemons,fruits,512,3993.6
SUPAUL,Limes and Lemons,fruits,310,2006.67
VAISHALI,Limes and Lemons,fruits,601,4701.84
ARARIA,Litchi,fruits,400,1400
ARWAL,Litchi,fruits,-,-
AURANGABAD,Litchi,fruits,-,-
BANKA,Litchi,fruits,100,300
BEGUSARAI,Litchi,fruits,600.06,3300.12
BHAGALPUR,Litchi,fruits,600,4300
BHOJPUR,Litchi,fruits,-,-
BUXAR,Litchi,fruits,-,-
DARBHANGA,Litchi,fruits,800,4100
GAYA,Litchi,fruits,-,-
GOPALGANJ,Litchi,fruits,1200,8000
JAMUI,Litchi,fruits,100,1200
JEHANABAD,Litchi,fruits,-,-
KAIMUR (BHABUA),Litchi,fruits,-,-
KATIHAR,Litchi,fruits,1503,10220.4
KHAGARIA,Litchi,fruits,303,2121
KISHANGANJ,Litchi,fruits,400,2100
LAKHISARAI,Litchi,fruits,,300
MADHEPURA,Litchi,fruits,209,1463
MADHUBANI,Litchi,fruits,800,5500
MUNGER,Litchi,fruits,302,2214.66
MUZAFFARPUR,Litchi,fruits,7900,40500
NALANDA,Litchi,fruits,-,-
NAWADA,Litchi,fruits,-,-
PASHCHIM CHAMPARAN,Litchi,fruits,2100,11500
PATNA,Litchi,fruits,-,-
PURBI CHAMPARAN,Litchi,fruits,2005,12330.75
PURNIA,Litchi,fruits,1290,8434.61
ROHTAS,Litchi,fruits,-,-
SAHARSA,Litchi,fruits,610,4778.34
SAMASTIPUR,Litchi,fruits,1512,10382.4
SARAN,Litchi,fruits,1112,9401.45
SHEIKHPURA,Litchi,fruits,,300
SHEOHAR,Litchi,fruits,1028,6990.4
SITAMARHI,Litchi,fruits,2312,17490.78
SIWAN,Litchi,fruits,1205,7631.67
SUPAUL,Litchi,fruits,101,707
VAISHALI,Litchi,fruits,3695,21670.68
ARARIA,Mango,fruits,708,5724.0
ARWAL,Mango,fruits,500,4500.0
AURANGABAD,Mango,fruits,1302,14220.77
BANKA,Mango,fruits,6500,52103.18
BEGUSARAI,Mango,fruits,4300,42475.61
BHAGALPUR,Mango,fruits,7900,73289.14
BHOJPUR,Mango,fruits,4700,47303.23
BUXAR,Mango,fruits,3500,35369.67
DARBHANGA,Mango,fruits,13555,140510.37
GAYA,Mango,fruits,1410,14541.26
GOPALGANJ,Mango,fruits,3115,30200.0
JAMUI,Mango,fruits,1159,11086.09
JEHANABAD,Mango,fruits,410,4230.96
KAIMUR (BHABUA),Mango,fruits,3418,34400.65
KATIHAR,Mango,fruits,2910.75,28397.56
KHAGARIA,Mango,fruits,1708,16577.65
KISHANGANJ,Mango,fruits,811,7603.13
LAKHISARAI,Mango,fruits,612,6039.47
MADHEPURA,Mango,fruits,2014,18372.98
MADHUBANI,Mango,fruits,6200,61979.67
MUNGER,Mango,fruits,1300,13678.95
MUZAFFARPUR,Mango,fruits,9840,96529.42
NALANDA,Mango,fruits,2900,30300.0
NAWADA,Mango,fruits,1300,13216.6
PASHCHIM CHAMPARAN,Mango,fruits,7315,72500.0
PATNA,Mango,fruits,4050,38623.97
PURBI CHAMPARAN,Mango,fruits,9000,89035.36
