,2010-11,2015-16,Andaman and Nicobar Islands,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Lakshadweep,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,South Goa,Tamil Nadu,Telangana,The Dadra and Nagar Haveli and Daman and Diu,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
gca_unirr_ar_state,33296784730.96,30239622910.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gca_unirr_ar_state,,,199225.845,5355894609.528,43082119.47,924289865.653,2737382793.347,225.84,1192754212.248,109242.592,1268598.254,2701930259.91,53539829.412,197987658.244,146681406.04,629432333.328,2975950902.225,223521451.332,78841.6,47009.54,9459738496.976,13263427080.746,15395944.424,18659506.866,5368644.372,49045978.812,2730003699.5160003,89359.088,1972033875.06,8814545141.958,1852080.152,52567.090000000004,1103377427.295,2462769289.137,125760.975,17833834.454,3775401521.953,112613616.18,2549923231.658
